0-0,0-0.2,0-0.4,0-0.6,0-0.8,0-1.0,0.2-0,0.2-0.2,0.2-0.4,0.2-0.6,0.2-0.8,0.2-1.0,0.4-0,0.4-0.2,0.4-0.4,0.4-0.6,0.4-0.8,0.4-1.0,0.6-0,0.6-0.2,0.6-0.4,0.6-0.6,0.6-0.8,0.6-1.0,0.8-0,0.8-0.2,0.8-0.4,0.8-0.6,0.8-0.8,0.8-1.0,1.0-0,1.0-0.2,1.0-0.4,1.0-0.6,1.0-0.8,1.0-1.0
-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0
-64.92324930956508,-65.4841006176757,-65.99517124906505,-66.46280730134208,-66.89232016367856,-67.28818913945533,-64.87468327119339,-65.4375630948129,-65.95050143233868,-66.41986253390793,-66.85097334855784,-67.24832658554344,-64.8261582630529,-65.391063064014,-65.90586600711958,-66.37694942590765,-66.80965577324798,-67.20849111847424,-64.77767423317,-65.34460047999015,-65.86126493370598,-66.33406794234362,-66.76836740674194,-67.16868271064726,-64.72923112965877,-65.29817529752529,-65.81669817245668,-66.2912180482714,-66.72710821807826,-67.12890133450173,-64.68082890072088,-65.25178747147625,-65.77216568379224,-66.2483997087968,-66.6858781763384,-67.08914696251321
-64.84976466213907,-65.92585884578135,-66.86264652968934,-67.68333074002102,-68.40644778237358,-69.0469724758413,-64.75452482996468,-65.83738536909455,-66.78019170976899,-67.60620366667507,-68.33411000681454,-68.97892669000483,-64.65923200724194,-65.7488673554242,-66.69768563863123,-67.52903429367224,-68.26172596081405,-68.91084300766902,-64.56388773978948,-65.66030606877142,-66.61512948904803,-67.45182358103727,-68.18929653631531,-68.84272216032963,-64.46849355902438,-65.57170276177033,-66.53252442380138,-67.37457248088505,-68.11682261825496,-68.77456487391775,-64.37305098207915,-65.48305867577932,-66.44987159576023,-67.29728193747361,-68.04430508461509,-68.70637186883842
-64.77933069158647,-66.32924662812927,-67.61912926607998,-68.70199928686593,-69.61828104944526,-70.39921995402929,-64.6389862661358,-66.2035954353257,-67.5059603305508,-68.59943765553591,-69.52489332067861,-70.31377619820587,-64.49821724040878,-66.0775806007838,-67.39245711850496,-68.49659338773816,-69.43124815887155,-70.22810059735612,-64.35703027214572,-65.95120738221556,-67.27862390267455,-68.39346987425667,-69.33734834305322,-70.14219446011951,-64.21543198900811,-65.82448101426803,-67.16446494107656,-68.29007049408474,-69.24319664454103,-70.05606013628554,-64.07342898782281,-65.69740670801397,-67.04998447657964,-68.1863986141351,-69.14879582670254,-69.9696999692019
-64.71174851374661,-66.6978635294033,-68.2792235966147,-69.55274724445474,-70.58893447602185,-71.43992969353127,-64.52759086778877,-66.53978030825255,-68.14217777743086,-69.43280838862167,-70.48317528884296,-71.34599574440705,-64.34224111506629,-66.38074357220154,-68.00430901632795,-69.3121903732188,-70.37683356987672,-71.25155867338643,-64.15571428166419,-66.22074029014153,-67.86562504177897,-69.19089894089383,-70.26991357299092,-71.15662010594075,-63.96802550946685,-66.05973871311986,-67.72613365077787,-69.06893988301655,-70.16241959196101,-71.0611833822491,-63.779190047978524,-65.89777495152072,-67.58584270558158,-68.94631903757448,-70.05435595906886,-70.96523640399036
-64.64683442112846,-67.0349668446614,-68.85565897720564,-70.26393257686743,-71.36736392402167,-72.24213133735876,-64.41991501187205,-66.84905541492785,-68.70105078818399,-70.13357715902687,-71.25624208408344,-72.14642908208376,-64.19053936305636,-66.66129599588476,-68.54496561552502,-70.00204461982189,-71.144157928343,-72.04993197546487,-63.9587304742604,-66.4716603449743,-68.38735997559552,-69.86934047650402,-71.03111488411882,-71.95264023597868,-63.72448714325618,-66.28008656245652,-68.22825667290822,-69.73547047104594,-70.9171165366437,-71.85455623707574,-63.487693821246054,-66.0865522903852,-68.06766594171852,-69.60040985281037,-70.80216662690371,-71.75564340495177
-64.58441868170979,-67.34350189014894,-69.35950525805337,-70.85917623388295,-71.99264692289846,-72.86176958584821,-64.31558107881375,-67.13414694298366,-69.19292358259978,-70.72410357657138,-71.88144164110395,-72.76894785241359,-64.04243850634562,-66.92174206805761,-69.02407471921153,-70.587324418983,-71.76890377908028,-72.67507255272896,-63.764989290857194,-66.7062400245571,-68.85287330325013,-70.44880151291511,-71.6550325916537,-72.58013029610733,-63.48306773820976,-66.48754852678981,-68.67934632811654,-70.30854629245864,-71.53979979868355,-72.48410836723279,-63.19651088495492,-66.2655917927499,-68.50349993072287,-70.16651013416022,-71.42320492651736,-72.38696177352
-64.5243444335261,-67.62613195269236,-69.80037273371138,-71.3581082955224,-72.49590148571559,-73.34161084041664,-64.21425155460004,-67.39742138127168,-69.62660321665179,-71.2227455941693,-72.38831850045214,-73.25457325857565,-63.897341623319306,-67.16421179269398,-69.44972493678513,-71.08515567900683,-72.27907489771535,-73.1662785464002,-63.57342982561505,-66.92636737845545,-69.26956619101786,-70.94526728597542,-72.16816225024732,-73.07670264628865,-63.24219454991867,-66.68377497094936,-69.08614883311172,-70.80308751593415,-72.05552894442275,-72.98582117376135,-62.903424110990585,-66.43630084931306,-68.89947004315067,-70.65854609955468,-71.94116649970853,-72.89358292922746
-64.46646666739903,-67.88526225786289,-70.18659062989843,-71.77701683021968,-72.90187527277422,-73.71431123878541,-64.11562406990735,-67.64093652394155,-70.00959741823263,-71.64463506038798,-72.80029840964427,-73.63462335033543,-63.75467539623049,-67.39047178914848,-69.82864351491828,-71.50957249517793,-72.6968125530439,-73.55355007916495,-63.38309872297793,-67.13360820157496,-69.64348478267338,-71.37171707449329,-72.59139935192385,-73.47105905347915,-63.0004298277481,-66.87010597938749,-69.45412274886517,-71.23104006834257,-72.48398972944415,-73.38711397908928,-62.606260349756106,-66.59980387121936,-69.26047951543758,-71.08746171575395,-72.37454592448846,-73.30164010569132
-64.41065129076524,-68.12306428043809,-70.52537146326686,-72.12939956986425,-73.23022755990714,-74.00479375803017,-64.01942718788278,-67.86650626142254,-70.34835230189029,-72.00227690179172,-73.13601830111553,-73.93306677791719,-63.61390964109016,-67.60201702397556,-70.1665537312509,-71.87210322571775,-73.03973387673486,-73.8598946468238,-63.19312955349447,-67.32920597370176,-69.9796624852058,-71.738734106878,-72.94134491892233,-73.785238671056,-62.75643780005138,-67.04762625100715,-69.78764567056044,-71.60210771058345,-72.84076903492962,-73.70905426875807,-62.3027272345052,-66.75699366148044,-69.59035311300156,-71.46212971852131,-72.73794606907116,-73.63125379178494
