0.12-0.008,0.12-0.0084,0.12-0.0089,0.12-0.0093,0.12-0.0097,0.12-0.0102,0.12-0.0106,0.12-0.011,0.12-0.0115,0.12-0.0119,0.12-0.0123,0.12-0.0128,0.12-0.0132,0.12-0.0136,0.12-0.0141,0.12-0.0145,0.12-0.0149,0.12-0.0154,0.12-0.0158,0.12-0.0162,0.12-0.0167,0.12-0.0171,0.12-0.0175,0.12-0.018,0.12-0.0184,0.12-0.0188,0.12-0.0193,0.12-0.0197,0.12-0.0201,0.12-0.0206,0.12-0.021
-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0
-64.91763636869084,-64.91890838592296,-64.92018013535028,-64.92145161705736,-64.92272283112872,-64.92399377764889,-64.92526445670228,-64.92653486837334,-64.92780501274645,-64.92907488990596,-64.93034449993618,-64.93161384292142,-64.93288291894588,-64.93415172809381,-64.93542027044936,-64.93668854609668,-64.93795655511987,-64.93922429760299,-64.94049177363009,-64.94175898328514,-64.94302592665214,-64.94429260381499,-64.94555901485758,-64.94682515986378,-64.9480910389174,-64.94935665210224,-64.95062199950203,-64.95188708120051,-64.95315189728133,-64.95441644782817,-64.95568073292462
-64.83886378699323,-64.84136061264425,-64.84385665381255,-64.84635191082941,-64.84884638402595,-64.85134007373313,-64.85383298028165,-64.85632510400215,-64.85881644522503,-64.8613070042805,-64.86379678149865,-64.86628577720934,-64.86877399174229,-64.87126142542704,-64.87374807859293,-64.87623395156916,-64.87871904468474,-64.88120335826851,-64.88368689264912,-64.88616964815505,-64.88865162511463,-64.891132823856,-64.89361324470711,-64.89609288799578,-64.89857175404958,-64.901049843196,-64.90352715576229,-64.90600369207554,-64.90847945246269,-64.9109544372505,-64.91342864676552
-64.763366041747,-64.76704473010439,-64.77072188524902,-64.77439750799338,-64.7780715991495,-64.78174415952887,-64.78541518994238,-64.7890846912005,-64.79275266411312,-64.7964191094896,-64.80008402813884,-64.80374742086914,-64.80740928848833,-64.81106963180372,-64.81472845162205,-64.8183857487496,-64.82204152399213,-64.82569577815481,-64.82934851204237,-64.83299972645898,-64.83664942220831,-64.8402976000935,-64.8439442609172,-64.8475894054815,-64.85123303458799,-64.85487514903778,-64.85851574963141,-64.86215483716894,-64.8657924124499,-64.86942847627334,-64.87306302943774
-64.69085984697092,-64.69568128083715,-64.70050021543918,-64.70531665237303,-64.71013059323353,-64.71494203961431,-64.7197509931077,-64.72455745530488,-64.72936142779581,-64.73416291216923,-64.73896191001266,-64.74375842291245,-64.74855245245367,-64.75334400022025,-64.75813306779487,-64.76291965675904,-64.76770376869305,-64.77248540517596,-64.77726456778568,-64.78204125809884,-64.78681547769098,-64.79158722813634,-64.79635651100803,-64.80112332787792,-64.80588768031669,-64.81064956989385,-64.8154089981777,-64.82016596673535,-64.8249204771327,-64.82967253093449,-64.83442212970427
-64.62109091080204,-64.62701942362214,-64.63294426654278,-64.63886544230968,-64.64478295366622,-64.65069680335333,-64.65660699410942,-64.66251352867062,-64.66841640977053,-64.6743156401404,-64.68021122250907,-64.68610315960294,-64.69199145414598,-64.6978761088598,-64.70375712646361,-64.70963450967419,-64.71550826120595,-64.72137838377085,-64.72724488007857,-64.73310775283623,-64.73896700474874,-64.7448226385185,-64.7506746568456,-64.7565230624277,-64.7623678579601,-64.76820904613575,-64.77404662964517,-64.77988061117657,-64.78571099341573,-64.79153777904615,-64.79736097074888
-64.55383057643674,-64.56083362094138,-64.56783163121092,-64.57482461156796,-64.58181256633078,-64.58879549981332,-64.59577341632504,-64.60274632017122,-64.6097142156527,-64.616677107066,-64.62363499870334,-64.63058789485261,-64.63753579979735,-64.64447871781678,-64.6514166531859,-64.65834961017529,-64.66527759305133,-64.672200606076,-64.67911865350713,-64.6860317395981,-64.69293986859819,-64.69984304475224,-64.70674127230096,-64.71363455548071,-64.7205228985236,-64.72740630565752,-64.7342847811061,-64.7411583290887,-64.7480269538205,-64.75489065951238,-64.76174945037103
-64.48887293136572,-64.49692078688676,-64.50496205932531,-64.51299675506665,-64.52102488048885,-64.52904644196272,-64.53706144585179,-64.54506989851241,-64.55307180629372,-64.56106717553759,-64.5690560125788,-64.57703832374489,-64.58501411535616,-64.59298339372583,-64.60094616515997,-64.6089024359574,-64.61685221240994,-64.62479550080215,-64.63273230741157,-64.64066263850854,-64.64858650035642,-64.65650389921133,-64.66441484132244,-64.67231933293179,-64.68021738027431,-64.68810898957798,-64.69599416706365,-64.70387291894517,-64.71174525142938,-64.71961117071606,-64.72747068299803
-64.42603230271101,-64.435097815062,-64.44415501863021,-64.4532039224068,-64.46224453537148,-64.47127686649266,-64.48030092472732,-64.48931671902116,-64.49832425830859,-64.50732355151261,-64.5163146075451,-64.52529743530658,-64.5342720436863,-64.54323844156234,-64.55219663780156,-64.56114664125955,-64.57008846078085,-64.57902210519872,-64.58794758333534,-64.59686490400166,-64.6057740759977,-64.61467510811218,-64.6235680091229,-64.63245278779651,-64.6413294528886,-64.65019801314378,-64.6590584772956,-64.66791085406666,-64.67675515216855,-64.68559138030189,-64.69441954715634
-64.3651410740899,-64.37519942319383,-64.38524756725367,-64.39528551846621,-64.40531328901119,-64.41533089105134,-64.42533833673235,-64.43533563818296,-64.44532280751503,-64.45529985682336,-64.46526679818602,-64.47522364366418,-64.48517040530211,-64.49510709512734,-64.50503372515065,-64.514950307366,-64.5248568537507,-64.53475337626533,-64.54463988685383,-64.55451639744344,-64.56438291994492,-64.5742394662523,-64.5840860482432,-64.5939226777786,-64.603749366703,-64.61356612684449,-64.62337297001466,-64.6331699080087,-64.6429569526054,-64.6527341155672,-64.66250140864018
-64.30604777274564,-64.31707626416033,-64.32809248878809,-64.339096462688,-64.35008820189465,-64.36106772241799,-64.3720350402434,-64.38299017133188,-64.39393313161999,-64.40486393701978,-64.41578260341912,-64.42668914668148,-64.43758358264611,-64.448465927128,-64.45933619591807,-64.47019440478299,-64.48104056946548,-64.49187470568411,-64.50269682913355,-64.51350695548442,-64.52430510038354,-64.53509127945378,-64.5458655082943,-64.55662780248036,-64.56737817756353,-64.57811664907172,-64.58884323250916,-64.5995579433565,-64.61026079707082,-64.62095180908567,-64.63163099481112
-64.2486153858358,-64.26059326305972,-64.27255665028373,-64.28450556814356,-64.29644003724053,-64.30836007814159,-64.3202657113793,-64.33215695745213,-64.34403383682431,-64.3558963699259,-64.36774457715308,-64.37957847886797,-64.39139809539883,-64.40320344704004,-64.41499455405234,-64.4267714366626,-64.43853411506426,-64.45028260941702,-64.46201693984723,-64.47373712644769,-64.48544318927796,-64.49713514836418,-64.50881302369942,-64.52047683524343,-64.5321266029229,-64.54376234663155,-64.5553840862301,-64.56699184154634,-64.57858563237528,-64.5901654784791,-64.60173139958727
-64.19271987257683,-64.20562814757811,-64.21851955097186,-64.23139410874357,-64.24425184683183,-64.25709279112834,-64.269916967478,-64.28272440167912,-64.29551511948351,-64.30828914659634,-64.32104650867662,-64.33378723133704,-64.34651134014413,-64.35921886061834,-64.37190981823426,-64.38458423842047,-64.39724214656,-64.40988356799004,-64.42250852800235,-64.4351170518431,-64.44770916471323,-64.46028489176831,-64.47284425811887,-64.48538728883022,-64.49791400892275,-64.51042444337202,-64.52291861710874,-64.53539655501898,-64.54785828194423,-64.56030382268142,-64.57273320198311
-64.13824884499904,-64.1520701448429,-64.16587203533595,-64.17965454864733,-64.19341771688363,-64.2071615720889,-64.2208861462448,-64.23459147127086,-64.24827757902463,-64.26194450130154,-64.27559226983549,-64.28922091629866,-64.30283047230175,-64.31642096939413,-64.32999243906403,-64.34354491273857,-64.35707842178405,-64.37059299750591,-64.38408867114909,-64.39756547389788,-64.41102343687645,-64.42446259114855,-64.4378829677181,-64.4512845975289,-64.46466751146501,-64.47803174035094,-64.49137731495163,-64.50470426597265,-64.51801262406039,-64.53130241980206,-64.54457368372596
